                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.3691,                  1.399,                   1.57,                0.70372,                 0.5046,                0.58723,                0.35113,                  1.417,                 1.2889,                 1.5897,               0.006733,               0.006733,               0.006733
                    101,                 1.3681,                 1.4114,                 1.5756,                 0.7103,                0.49615,                0.58783,                0.35046,                 1.4108,                 1.2941,                 1.5898,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.3578,                 1.3821,                 1.5613,                0.70456,                0.49988,                0.58696,                0.35311,                 1.4071,                 1.2838,                 1.5812,               0.006667,               0.006667,               0.006667
                    103,                 1.3569,                  1.382,                 1.5637,                 0.7205,                0.49689,                0.59114,                0.35361,                 1.4119,                 1.2802,                 1.5964,               0.006634,               0.006634,               0.006634
                    104,                 1.3706,                 1.4005,                 1.5787,                0.70464,                0.50286,                0.58742,                0.35142,                 1.4045,                  1.283,                 1.5892,               0.006601,               0.006601,               0.006601
                    105,                 1.3685,                  1.387,                 1.5701,                0.71844,                0.49813,                0.59322,                0.35512,                 1.4092,                 1.2769,                 1.5872,               0.006568,               0.006568,               0.006568
                    106,                 1.3615,                 1.3871,                 1.5666,                0.71014,                0.50609,                0.59825,                0.35802,                 1.4098,                 1.2666,                  1.589,               0.006535,               0.006535,               0.006535
                    107,                 1.3549,                 1.3806,                 1.5655,                0.70185,                0.51341,                0.60044,                0.36004,                 1.4112,                 1.2597,                 1.5893,               0.006502,               0.006502,               0.006502
                    108,                 1.3681,                 1.3784,                 1.5551,                0.72597,                0.49167,                0.59315,                0.35759,                 1.4064,                 1.2676,                 1.5859,               0.006469,               0.006469,               0.006469
                    109,                 1.3522,                 1.3796,                 1.5657,                0.71398,                0.50709,                0.59687,                0.35642,                 1.4105,                 1.2701,                 1.5908,               0.006436,               0.006436,               0.006436
